text,Unnamed: 14,Unnamed: 15,Unnamed: 16,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
"Your crew were calm, professional, resourceful - a tremendous advert for you!",,,,Your crew calm professional resourceful tremendous advert,0,6,0,1,11,1,0,0,0,4, Your crew calm professional resourceful tremendous advert
"Big thank-u to the lovely crew of @British_Airways flight BA0873 today who found a resourceful way to get me off their plane when @HeathrowAirport failed to, again.",,,,Big thank u lovely crew flight BA today found resourceful way get plane failed,1,17,1,2,24,1,0,0,0,5, Big thank u lovely crew flight BA today found resourceful way get plane failed
"Flight home cancelled! Apologies to anyone I might have been short with, @easyJet & @Gatwick_Airport some of the problem was out of your hands, but your inability to grip the situation & help clearly frustrated many passengers. Thanks @British_Airways & @HolidayInn for helping.",,,,Flight home cancelled Apologies anyone I might short problem hands inability grip situation help clearly frustrated many passengers Thanks helping,0,25,3,1,39,1,0,0,0,12, Flight home canceled Apologies anyone I might short problem hands inability grip situation help clearly frustrated many passengers Thanks helping
We can't wait to show @jamescapetown and YOU what we've got at our Eatery store!,,,,We wait show YOU got Eatery store,1,6,0,0,15,1,0,0,0,4, We wait show YOU got Eatery store
It’s been already 25 days since @British_Airways lost my luguagge and still no news from them. They haven’t contacted me once! Clearly the worst airline ever. They literally stole my luggage! Should I take legal actions? Does anyone have any reccomendation? #britishairways,,,,It already days since lost luguagge still news They contacted Clearly worst airline ever They literally stole luggage Should I take legal actions Does anyone reccomendation britishairways,0,23,3,1,38,1,0,0,1,10, It already days since lost luggage still news They contacted Clearly worst airline ever They literally stole luggage Should I take legal actions Does anyone recommendation Britisher
- Something with 195 calories categorically does not constitute a meal for a human & it’s irresponsible to suggest that it does - Eating breakfast is not a “treat” - Food does not hold moral value @marksandspencer @British_Airways sort your inflight menu out please pic.twitter.com/ZTCIb5Ige7,,,,Something calories categorically constitute meal human irresponsible suggest Eating breakfast treat Food hold moral value sort inflight menu please pic twitter com ZTCIb Ige,0,27,1,0,44,1,0,0,0,9, Something calories categorically constitute meal human irresponsible suggest Eating breakfast treat Food hold moral value sort in flight menu please pic twitter com Decibel Inge
"“Between Two Palms” (well, actually three). Only thing missing is the roar of this @british_airways a380. #avgeek https:// instagram.com/p/BmJBYPnHeKN/ pic.twitter.com/qHvE9oAPWK",,,,Between Two Palms well actually three Only thing missing roar avgeek https instagram com p BmJBYPnHeKN pic twitter com qHvE oAPWK,0,21,0,0,20,1,0,0,1,10, Between Two Palms well actually three Only thing missing roar av geek HTTP Instagram com p  pic twitter com hive soap
@British_Airways shocking customer service. Been waiting on a refund of €5550 for two weeks despite being assured it would take 48 hours. various emails have been sent throughout chasing an update without reply and your ‘customer relations’ simply do not answer the phone.,,,,shocking customer service Been waiting refund two weeks despite assured would take hours various emails sent throughout chasing update without reply customer relations simply answer phone,0,27,1,1,41,1,0,0,0,7, shocking customer service Been waiting refund two weeks despite assured would take hours various emails sent throughout chasing update without reply customer relations simply answer phone
I never tire of the views arriving into Heathrow with @British_Airways pic.twitter.com/QTmvLTrHjX,,,,I never tire views arriving Heathrow pic twitter com QTmvLTrHjX,0,11,0,0,12,1,0,0,0,2, I never tire views arriving Heath row pic twitter com 
"Why do I stay loyal to @AmericanAir ? When I got off the plane this morning I had a voicemail explaining why my bag didn’t make the plane, where it was, and when I was getting it. THAT is customer service. (See how that works @British_Airways )",,,,Why I stay loyal When I got plane morning I voicemail explaining bag make plane I getting THAT customer service See works,1,18,0,2,45,1,0,0,0,10, Why I stay loyal When I got plane morning I voicemail explaining bag make plane I getting THAT customer service See works
The boss of @British_Airways says the queues at @HeathrowAirport are unacceptable. @HeathrowAirport agrees. So what's the hold-up? Here's a quick take with @bbcaaron on @BBCWorld #GMT pic.twitter.com/C0k4ymY9TM,,,,The boss says queues unacceptable agrees So hold Here quick take GMT pic twitter com C k ymY TM,2,22,0,0,27,1,0,0,1,12, The boss says queues unacceptable agrees So hold Here quick take GMT pic twitter com C k y My TM
Impressive work from @British_Airways and BA Cityflyer as they achieve the lowest average delays ex . Impressive when you consider the bulk of the operation is out of one of the most congested airports in the world. https:// news.sky.com/story/wizz-air -revealed-as-most-delayed-airline-at-uk-airports-11462905 …,,,,Impressive work BA Cityflyer achieve lowest average delays ex Impressive consider bulk operation one congested airports world https news sky com story wizz air revealed delayed airline uk airports,1,31,2,3,36,1,0,0,0,7, Impressive work BA Ferocity achieve lowest average delays ex Impressive consider bulk operation one congested airports world HTTP news sky com story wiz air revealed delayed airline UK airports
Lets play guess the flight number.... #avgeek #britishairways #airbus #ABZ #LHR @British_Airways @HeathrowAirport @ABZ_Airport pic.twitter.com/b6sRNpbjFk,,,,Lets play guess flight number avgeek britishairways airbus ABZ LHR pic twitter com b sRNpbjFk,2,20,0,0,15,1,0,0,5,10, Lets play guess flight number av geek Britisher airbus AB HR pic twitter com b 
"""The truth is, no person should be illegal – queer, migrant or both – and to argue that a person’s mere existence is a crime is fundamentally wrong"". Great piece from @lgsmigrants on why @British_Airways must stop supporting deportations. https://www. independent.co.uk/voices/brighto n-pride-british-airways-lesbian-gay-bisexual-lgbtq-rights-a8478061.html …",,,,The truth person illegal queer migrant argue person mere existence crime fundamentally wrong Great piece must stop supporting deportations https www independent co uk voices brighto n pride british airways lesbian gay bisexual lgbtq rights html,0,38,2,2,39,1,0,0,0,14, The truth person illegal queer migrant argue person mere existence crime fundamentally wrong Great piece must stop supporting deportations HTTP WWW independent co UK voices bright n pride British airways lesbian gay bisexual LGBT rights HTML
#HeathrowAirport #BA223 UPDATE: The @British_Airways flight was not far from #Moscow . We have been advised that it is somewhat strange that the troubled flight is coming all the way back to London’s Heathrow Airport. pic.twitter.com/EuKBxQHv36,,,,HeathrowAirport BA UPDATE The flight far Moscow We advised somewhat strange troubled flight coming way back London Heathrow Airport pic twitter com EuKBxQHv,2,23,2,0,34,1,0,0,3,9, Airport BA UPDATE The flight far Moscow We advised somewhat strange troubled flight coming way back London Heath row Airport pic twitter com 
British Airways Boeing 777-236 Arrival from Madrid as BA 461 Age 23 years Registration G-ZZZA @British_Airways pic.twitter.com/4nP6Trb6kK,,,,British Airways Boeing Arrival Madrid BA Age years Registration G ZZZA pic twitter com nP Trb kK,2,19,0,0,17,1,0,0,0,4, British Airways Boeing Arrival Madrid BA Age years Registration G ZZZ pic twitter com NP Tb k
Latest: @British_Airways CEO Alex Cruz has called for urgent action over long queues at London #Heathrow . • Calling it a 'border farce' — Cruz said it was fast becoming normal for arriving passengers to suffer two-hour waits to get through border control.,,,,Latest CEO Alex Cruz called urgent action long queues London Heathrow Calling border farce Cruz said fast becoming normal arriving passengers suffer two hour waits get border control,1,30,2,1,40,1,0,0,1,10, Latest CEO Alex Cruz called urgent action long queues London Heath row Calling border farce Cruz said fast becoming normal arriving passengers suffer two hour waits get border control
Hey @jetairways It's time again to repeat your excuse that you didn't have staff that could speak Kannada or Tamil in a Bengaluru-Chennai flight. International airways like @British_Airways @SingaporeAir provide safety instructions in Kannada. Shame on you @jetairways https:// twitter.com/BaZoOka64/stat us/1026307144394653700 …,,,,Hey It time repeat excuse staff could speak Kannada Tamil Bengaluru Chennai flight International airways like provide safety instructions Kannada Shame https twitter com BaZoOka stat us,0,31,2,1,39,1,0,0,0,13, Hey It time repeat excuse staff could speak Kannada Tamil Bengali Chennai flight International airways like provide safety instructions Kannada Shame HTTP twitter com Bazooka stat us
The bad news: this morning @British_Airways cancelled my flight to @HeathrowAirport for @TheBirdfair seven days prior to departure. The good news: their representative was very helpful getting me re-booked on a different flight so all is now once again well. #travel,,,,The bad news morning cancelled flight seven days prior departure The good news representative helpful getting booked different flight well travel,0,23,1,2,38,1,0,0,1,9, The bad news morning canceled flight seven days prior departure The good news representative helpful getting booked different flight well travel
"Growing up, most of my family worked for @British_Airways — I was even christened at the chapel at Heathrow! So I’m disgusted to hear that are flying migrants home to be persecuted (murdered) for their sexuality / gender expression. Not cool. pic.twitter.com/wvrlsCnnFg",,,,Growing family worked I even christened chapel Heathrow So I disgusted hear flying migrants home persecuted murdered sexuality gender expression Not cool pic twitter com wvrlsCnnFg,0,24,1,1,40,1,0,0,0,10, Growing family worked I even christened chapel Heath row So I disgusted hear flying migrants home persecuted murdered sexuality gender expression Not cool pic twitter com 
Hi Frank. We're sorry you had problems with assistance but glad to hear our crew were able to help. I'll pass on your thanks.^Si,,,,Hi Frank We sorry problems assistance glad hear crew able help I pass thanks Si,0,13,2,1,21,1,0,0,0,5, Hi Frank We sorry problems assistance glad hear crew able help I pass thanks Si
It makes me proud to see a @British_Airways gate inside @Fly_Nashville . I look forward to taking advantage of our newest international flight sometime soon!,,,,It makes proud see gate inside I look forward taking advantage newest international flight sometime soon,0,18,0,2,23,1,0,0,0,4, It makes proud see gate inside I look forward taking advantage newest international flight sometime soon
"Check it out, people. There has never been an #influencer like this in the travel world. Bravo @TravelFanboy Now, I wonder if you can work your magic with @British_Airways - next time the Champagne is not the right temp in the Concorde Room, I know who to tag! CC: @pizzainmotion https:// twitter.com/TravelFanboy/s tatus/1026531413305290752 …",,,,Check people There never influencer like travel world Bravo Now I wonder work magic next time Champagne right temp Concorde Room I know tag CC https twitter com TravelFanboy tatus,1,30,0,6,48,1,0,0,1,16, Check people There never influence like travel world Bravo Now I wonder work magic next time Champagne right temp Concorde Room I know tag CC HTTP twitter com Travel Fanboy tats
Excitement is NOT the word!! #capetown #food #travel #traveltuesday #foodloversmarket #spon pic.twitter.com/CvSfDGFtd4,,,,Excitement NOT word capetown food travel traveltuesday foodloversmarket spon pic twitter com CvSfDGFtd,1,12,0,1,11,1,0,0,6,8, Excitement NOT word Capetown food travel travelogue oversimplification soon pic twitter com 
Used @AirPortr_UK today before my flight collected my four bags skipped check in and service with a smile this service is amazing well done @British_Airways for using these guys my holiday starts a day early,,,,Used today flight collected four bags skipped check service smile service amazing well done using guys holiday starts day early,0,24,0,3,32,1,0,0,0,2, Used today flight collected four bags skipped check service smile service amazing well done using guys holiday starts day early
Bit ridiculous that @British_Airways cancel a 1.5hr flight because of a small thunderstorm. Pretty sure planes are storm proof ffs.,,,,Bit ridiculous cancel hr flight small thunderstorm Pretty sure planes storm proof ffs,0,15,1,1,18,1,0,0,0,4, Bit ridiculous cancel hr flight small thunderstorm Pretty sure planes storm proof ff
