text,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
Thank you @SouthwestAir . My kiddo had a 9 hour flight home alone and your pilots took great care of her! It is why we only fly southwest! pic.twitter.com/N7qJHdXxXK,Thank My kiddo hour flight home alone pilots took great care It fly southwest pic twitter com N qJHdXxXK,0,18,0,2,27,1,0,0,0,5, Thank My kiddo hour flight home alone pilots took great care It fly southwest pic twitter com N 
I FLEW @SouthwestAir THIS WEEKEND AND HAD ZERO PROBLEMS Oh wait... I was supposed to complain about my experience. Damnit...,I FLEW THIS WEEKEND AND HAD ZERO PROBLEMS Oh wait I supposed complain experience Damnit,7,11,2,0,18,1,0,0,0,4, I FLEW THIS WEEKEND AND HAD ZERO PROBLEMS Oh wait I supposed complain experience Dammit
". @SouthwestAir , I was on a 5:55am flight this morning (Flight 2365) from Chicago to Seattle, and I just have to let u know that your flight attendant Jeanna was the absolute best. There were 5 unaccompanied minors that she was amazing to. Our world need more Jeannas. pic.twitter.com/Bb08wpZbxa",I flight morning Flight Chicago Seattle I let u know flight attendant Jeanna absolute best There unaccompanied minors amazing Our world need Jeannas pic twitter com Bb wpZbxa,0,25,0,1,49,1,0,0,0,11, I flight morning Flight Chicago Seattle I let u know flight attendant Jenna absolute best There unaccompanied minors amazing Our world need Jeanne pic twitter com BB 
Making sure @SouthwestAir knows that my computer is fragile and gate checking them since they broke my 27” iMac on the way to #GenCon . pic.twitter.com/63qVMebw3w,Making sure knows computer fragile gate checking since broke iMac way GenCon pic twitter com qVMebw w,0,18,2,0,24,1,0,0,1,5, Making sure knows computer fragile gate checking since broke i Mac way Gen Con pic twitter com  w
I just took a shot of tequila while the crew and passengers of a @SouthwestAir flight sang me happy birthday for my 21st,I took shot tequila crew passengers flight sang happy birthday st,0,11,0,1,22,1,0,0,0,1, I took shot tequila crew passengers flight sang happy birthday st
"Proud Dad, our son Clay @ClayYoungblood finished his Masters in Finance from @UT_Dallas last week and started working @SouthwestAir July 9th.",Proud Dad son Clay finished Masters Finance last week started working July th,0,17,0,2,19,1,0,0,0,5, Proud Dad son Clay finished Masters Finance last week started working July ht
Thanks @SouthwestAir for the onesie and blanket for our daughter Hallie. She can’t wait to fly with you again @mohenry24 #Southwest #firstflight pic.twitter.com/sE6g4psI5G,Thanks onesie blanket daughter Hallie She wait fly Southwest firstflight pic twitter com sE g psI G,0,18,0,0,23,1,0,0,2,7, Thanks oneness blanket daughter Hallie She wait fly Southwest first flight pic twitter com SE g psi G
LISTEN UP!! @SouthwestAir will NEVER disappoint me.EVER. my flight was canceled & they helped me get a new for free & now I’m getting home an hour EARLY. AMAZING! and you always get TWO FREE CHECKED BAGS!! y’all stupid if you’re not flying southwest. thx for coming to my ted talk,LISTEN UP NEVER disappoint EVER flight canceled helped get new free I getting home hour EARLY AMAZING always get TWO FREE CHECKED BAGS stupid flying southwest thx coming ted talk,10,29,2,3,46,1,0,0,0,12, LISTEN UP NEVER disappoint EVER flight canceled helped get new free I getting home hour EARLY AMAZING always get TWO FREE CHECKED BAGS stupid flying southwest the coming ted talk
#t4k2018 crossed the #Alaska border! TY to sponsors who supported the journey #EOGResources @HilcorpAlaska @Plantronics @HEB @browndist @KINDSnacks @PickleJuice2001 @nuunhydration @HomePlatePB @BicycleWorldTx @BrainCheck @ChamoisButtr @howyoubean @SouthwestAir @tarkarestaurant pic.twitter.com/5htUheIieM,k crossed Alaska border TY sponsors supported journey EOGResources pic twitter com htUheIieM,1,27,0,1,27,1,0,0,3,19, k crossed Alaska border TY sponsors supported journey Resourceful pic twitter com 
"We've taken to the skies! Fun to see @switchboardHQ featured in @SouthwestAir (thanks for the snap, @JuliaJRH !) pic.twitter.com/t5BjyKWpg0",We taken skies Fun see featured thanks snap pic twitter com BjyKWpg,0,14,0,1,18,1,0,0,0,9, We taken skies Fun see featured thanks snap pic twitter com 
