username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,col1,col2,col3
Secret Flying,SecretFlying,2018-08-06 19:48,7,17,"Chicago to Houston, Texas (& vice versa) for only $88 roundtrip with @AmericanAir . https://www. secretflying.com/posts/chicago- houston-vice-versa-96-roundtrip/ … pic.twitter.com/69cAo3UZvn",,@AmericanAir,,"1,02660088000989E+018",https://twitter.com/SecretFlying/status/1026600880009891841,,,
NH Economic Dev,NewHavenED,2018-08-06 19:29,8,13,We are very excited to see new commercial air service announced today by @AmericanAir between #CLT and #HVN . For New Haven's business community - and all of our air travelers - Charlotte connects @FlyTweed to another 150 destinations worldwide!,,@AmericanAir @FlyTweed,#CLT #HVN,"1,0265962359297E+018",https://twitter.com/NewHavenED/status/1026596235929702401,,,
Mike Sington,MikeSington,2018-08-06 19:19,1,12,. @WSJ asked CEO’s of the Big Three American airlines to sit in the cheap seats to see what it’s like. @AmericanAir CEO (left) and @Delta CEO (right) agreed; @united CEO refused. They’re smiling. It should be noted however there were no passengers next to them or crying babies. pic.twitter.com/gtAHGvALBy,,@WSJ @AmericanAir @Delta @united,,"1,02659360004859E+018",https://twitter.com/MikeSington/status/1026593600048586752,,,
MLT Org,MLTOrg,2018-08-06 19:01,2,14,"A big thank you to all of our business school & corporate partners who attended the MBA Prep seminar, hosted by @YaleSOM , this past weekend! #MLTYaleSOM @Bridgewater @CloroxCo @pgcareers @AmericanAir @BabsonGraduate @BerkeleyHaas @BUQuestrom @ChicagoBooth @Columbia_Biz",,@YaleSOM @Bridgewater @CloroxCo @pgcareers @AmericanAir @BabsonGraduate @BerkeleyHaas @BUQuestrom @ChicagoBooth @Columbia_Biz,#MLTYaleSOM,"1,02658911053695E+018",https://twitter.com/MLTOrg/status/1026589110536945664,,,
airfarewatchdog,airfarewatchdog,2018-08-06 17:47,8,20,"Flights to #China as low as $394RT on @AmericanAir . Travel August through November, and again from January through March. https:// bit.ly/2M6rTq5 #Atlanta #Seattle #Portland #SaltLakeCity #Minneapolis #airfare #flights pic.twitter.com/UW8mL1oxzk",,@AmericanAir,#China #Atlanta #Seattle #Portland #SaltLakeCity #Minneapolis #airfare #flights,"1,02657056672612E+018",https://twitter.com/airfarewatchdog/status/1026570566726123521,,,
Mike Mills,m_millsey,2018-08-06 16:06,3,18,The joy of air travel. @AmericanAir ridiculously poor customer service. https:// twitter.com/ajc/status/102 5820677058781186 …,,@AmericanAir,,"1,026545022471E+018",https://twitter.com/m_millsey/status/1026545022471000064,,,
Jordan Bonstrom,GordanJordan,2018-08-06 16:02,14,64,You can see the new scoreboard for the sky! @OSUAthletics @FlyStillwaterOK @AmericanAir @visitstillwater pic.twitter.com/RewEM1fioa,,@OSUAthletics @FlyStillwaterOK @AmericanAir @visitstillwater,,"1,02654414589087E+018",https://twitter.com/GordanJordan/status/1026544145890869248,,,
Mayor Marian Orr,gofishwyo,2018-08-06 15:34,3,13,"I believe air service to Cheyenne is critical, and beginning Nov 4 we will have it with daily flights to/from Dallas/Fort Worth. Welcome, @AmericanAir . This is how we grow our economy. @ENDOWyo @BloombergDotOrg https://www. wyomingnews.com/news/american- airlines-announces-dallas-fort-worth-service-to-cheyenne/article_f4cfee02-999e-11e8-b993-5bbcd4391992.html …",,@AmericanAir @ENDOWyo @BloombergDotOrg,,"1,02653703066516E+018",https://twitter.com/gofishwyo/status/1026537030665162752,,,
Secret Flying,SecretFlying,2018-08-06 14:50,4,11,"MEGA POST: US cities to Beijing or Shanghai, China from only $377 roundtrip with @AmericanAir . https://www. secretflying.com/posts/us-citie s-to-beijing-or-shanghai-china-from-only-377-roundtrip/ … pic.twitter.com/Ok7qo9vyD1",,@AmericanAir,,"1,02652598805278E+018",https://twitter.com/SecretFlying/status/1026525988052783105,,,
Connor Clancy,connorclancy7,2018-08-06 13:56,1,9,@AmericanAir you never seize to amaze me on how bad you guys are at your job. For a company so big you really do a terrible job moving people across the country on time. It’s incredible that you guys have been around for this long. Worst airline in the world hands down! Just bad!,,@AmericanAir,,"1,02651226259965E+018",https://twitter.com/connorclancy7/status/1026512262599651328,,,
Randall Gutermuth,RandyGOP,2018-08-06 12:40,1,19,What I love best about @AmericanAir is the ease of working in coach on a 6 hour flight. Getting to open my laptop half way is a luxury I thought was reserved for royalty and private planes. pic.twitter.com/traVTB64Vm,,@AmericanAir,,"1,0264932196543E+018",https://twitter.com/RandyGOP/status/1026493219654303744,,,
CBS4 Miami,CBSMiami,2018-08-06 12:36,6,10,#AmericanAirlines kicks musician with cello off plane in #Miami even though she paid for the extra seat. https:// cbsloc.al/2vFfwqZ @AmericanAir,,@AmericanAir,#AmericanAirlines #Miami,"1,0264923239565E+018",https://twitter.com/CBSMiami/status/1026492323956498432,,,
airfarewatchdog,airfarewatchdog,2018-08-06 12:16,7,17,#NYC #JFK to #Milan #MXP Italy $541RT Nonstop on @AmericanAir for September Travel https:// bit.ly/2AI9hs0 #airfare #flights pic.twitter.com/uANg30Ch63,,@AmericanAir,#NYC #JFK #Milan #MXP #airfare #flights,"1,0264871608436E+018",https://twitter.com/airfarewatchdog/status/1026487160843595777,,,
