username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Gretchen Freshour,gretchfresh,2018-08-06 20:51,2,44,"Thank you @SouthwestAir . My kiddo had a 9 hour flight home alone and your pilots took great care of her! It is why we only fly southwest! pic.twitter.com/N7qJHdXxXK",,@SouthwestAir,,"1026616861931319296",https://twitter.com/gretchfresh/status/1026616861931319296
Ken Dixon,The_KenDixon,2018-08-06 20:25,0,27,"I FLEW @SouthwestAir THIS WEEKEND AND HAD ZERO PROBLEMS Oh wait... I was supposed to complain about my experience. Damnit...",,@SouthwestAir,,"1026610166819696640",https://twitter.com/The_KenDixon/status/1026610166819696640
Gee Scott KIRO FM 🎙,TheGeeScott,2018-08-06 18:39,12,247,". @SouthwestAir , I was on a 5:55am flight this morning (Flight 2365) from Chicago to Seattle, and I just have to let u know that your flight attendant Jeanna was the absolute best. There were 5 unaccompanied minors that she was amazing to. Our world need more Jeannas. pic.twitter.com/Bb08wpZbxa",,@SouthwestAir,,"1026583658583318528",https://twitter.com/TheGeeScott/status/1026583658583318528
Bebo,BoldBebo,2018-08-06 18:15,1,23,"Making sure @SouthwestAir knows that my computer is fragile and gate checking them since they broke my 27” iMac on the way to #GenCon . pic.twitter.com/63qVMebw3w",,@SouthwestAir,#GenCon,"1026577487634067457",https://twitter.com/BoldBebo/status/1026577487634067457
Justin sutherland,J_Sutherland66,2018-08-06 17:39,1,76,"I just took a shot of tequila while the crew and passengers of a @SouthwestAir flight sang me happy birthday for my 21st",,@SouthwestAir,,"1026568492986728448",https://twitter.com/J_Sutherland66/status/1026568492986728448
Jon Youngblood,coachblood,2018-08-06 16:56,1,17,"Proud Dad, our son Clay @ClayYoungblood finished his Masters in Finance from @UT_Dallas last week and started working @SouthwestAir July 9th.",,@ClayYoungblood @UT_Dallas @SouthwestAir,,"1026557640632152065",https://twitter.com/coachblood/status/1026557640632152065
Brooke Henry,bbeckner8,2018-08-06 16:16,0,25,"Thanks @SouthwestAir for the onesie and blanket for our daughter Hallie. She can’t wait to fly with you again @mohenry24 #Southwest #firstflight pic.twitter.com/sE6g4psI5G",,@SouthwestAir @mohenry24,#Southwest #firstflight,"1026547520963411968",https://twitter.com/bbeckner8/status/1026547520963411968
bow knee knee,molly_bonini,2018-08-06 15:54,4,50,"LISTEN UP!! @SouthwestAir will NEVER disappoint me.EVER. my flight was canceled & they helped me get a new for free & now I’m getting home an hour EARLY. AMAZING! and you always get TWO FREE CHECKED BAGS!! y’all stupid if you’re not flying southwest. thx for coming to my ted talk",,@SouthwestAir,,"1026541937036124160",https://twitter.com/molly_bonini/status/1026541937036124160
Texas 4000,Texas4000,2018-08-06 14:26,14,62,"#t4k2018 crossed the #Alaska border! TY to sponsors who supported the journey #EOGResources @HilcorpAlaska @Plantronics @HEB @browndist @KINDSnacks @PickleJuice2001 @nuunhydration @HomePlatePB @BicycleWorldTx @BrainCheck @ChamoisButtr @howyoubean @SouthwestAir @tarkarestaurant pic.twitter.com/5htUheIieM",,@HilcorpAlaska @Plantronics @HEB @browndist @KINDSnacks @PickleJuice2001 @nuunhydration @HomePlatePB @BicycleWorldTx @BrainCheck @ChamoisButtr @howyoubean @SouthwestAir @tarkarestaurant,#t4k2018 #Alaska #EOGResources,"1026519904697155589",https://twitter.com/Texas4000/status/1026519904697155589
Mara Zepeda,marazepeda,2018-08-06 13:12,7,38,"We've taken to the skies! Fun to see @switchboardHQ featured in @SouthwestAir (thanks for the snap, @JuliaJRH !) pic.twitter.com/t5BjyKWpg0",,@switchboardHQ @SouthwestAir @JuliaJRH,,"1026501341005275139",https://twitter.com/marazepeda/status/1026501341005275139
The River City News,theRCnews,2018-08-06 08:33,2,6,". @SouthwestAir to launch new direct flight from @CVGairport to Denver http://www. rcnky.com/articles/2018/ 08/06/southwest-kick-direct-service-cvg-airport-denver …",,@SouthwestAir @CVGairport,,"1026431126351630341",https://twitter.com/theRCnews/status/1026431126351630341
Lowell Melser,MelserWBAL,2018-08-05 23:29,1,64,"Fun popping bubbles on the plane to keep busy. Sorry @SouthwestAir for the occasional screams. But you have to admit she’s pretty cute. Lol pic.twitter.com/A2jiS9UouE",,@SouthwestAir,,"1026294246020718592",https://twitter.com/MelserWBAL/status/1026294246020718592
Joe Skovron,skovy14,2018-08-05 22:00,3,30,"Looks like quite of few caddies and a few players found the same @SouthwestAir charter to St Louis as me @sampinna",,@SouthwestAir @sampinna,,"1026271735300206594",https://twitter.com/skovy14/status/1026271735300206594
Kristin Franke,kristin_franke,2018-08-05 20:53,3,57,"@SouthwestAir free tv @USAUltimate women’s finals on @espn Great flight entertainment. pic.twitter.com/QFAXyCEiqS",,@SouthwestAir @USAUltimate @espn,,"1026254979089215489",https://twitter.com/kristin_franke/status/1026254979089215489
NashvilleGab,nashvillegab,2018-08-05 20:45,14,22,"As part of his partnership with @Chase and @SouthwestAir , @bretteldredge recently surprised a fan who survived the Las Vegas shooting. http:// nashvillegab.com/2018/08/brett- eldredge-surprises-route-91-survivor.html …",,@Chase @SouthwestAir @bretteldredge,,"1026252821178580992",https://twitter.com/nashvillegab/status/1026252821178580992
Momma, Mom & Mommy,itz_mizdee,2018-08-05 20:37,0,33,"Aaliyah & I got first class on @SouthwestAir pic.twitter.com/RQ45feiu9s",,@SouthwestAir,,"1026250820441055233",https://twitter.com/itz_mizdee/status/1026250820441055233
Cesar Moreno Perez,profe_c,2018-08-05 19:28,2,7,"Back in San Juan, #PuertoRico for the @LCLAA Labor Council for Latin American Advancement (LCLAA) Nat’l E-board & 22nd Membership Convention. Thank you @SouthwestAir Airlines for getting me to my destination safely & for supporting such a great organization. A-list member! pic.twitter.com/Nmibo3vDN6",,@LCLAA @SouthwestAir,#PuertoRico,"1026233484065615873",https://twitter.com/profe_c/status/1026233484065615873
gary leff,garyleff,2018-08-05 18:40,1,16,"My @southwestair pilot apologized that turbulence precluded service on my flight but promises that if we drop his name - @gary_kelly - on our next flight we'll get a make-good.",,@southwestair @gary_kelly,,"1026221420420968450",https://twitter.com/garyleff/status/1026221420420968450
Brenda Rivas,Brenda_RivasG,2018-08-05 00:49,4,5,"Reminder #writers : Application deadline for @NHMC TV Writers Program is August 5th! Paid program with no application fees! Apply before it’s too late! Program supported and sponsored by @disneyabcctdi @NBCUdiversity @SouthwestAir @finaldraftinc #latinx #RepresentationMatters pic.twitter.com/s62ty7UKAs",,@NHMC @disneyabcctdi @NBCUdiversity @SouthwestAir @finaldraftinc,#writers #latinx #RepresentationMatters,"1025951809209167872",https://twitter.com/Brenda_RivasG/status/1025951809209167872
