,0,1
0,2018-05-24 18:26:29,RT @FalatuThiago: A L G U E M    M E    D A   U M    T I R O ?
1,2018-05-24 18:26:28,"RT @Rubro_Negrah: U L T I M A M E N T E 
M I N H A 
N E T 
T A 
I G U A L 
A 
M I N H A 
V I D A, 

UM CU!!!!!!!!!"
2,2018-05-24 18:25:20,"RT @5Hilycc: E aquele ditado ne...

   M U L H E R A O
            D A 
        P O R R A https://t.co/5XGtgjaJ5M"
3,2018-05-24 18:25:13,A   R E V O L U C A O   E   N O I A https://t.co/On0RPR6wKA
4,2018-05-24 18:24:11,A L G U E M    M E    D A   U M    T I R O ?
5,2018-05-24 18:23:54,"EU GRITAVA E CHORAVA Q NEM UMA 
               M A L U C A 
                                   vlw mt obrigada
MAS... https://t.co/pEg46Kgt40"
6,2018-05-24 18:23:00,"Q U E R O   S E X T A  L O G O 
Q U E R O   S E X T A  L O G O 
Q U E R O   S E X T A  L O G O 
Q U E R O   S E X T... https://t.co/l43QjLjNGO"
7,2018-05-24 18:21:05,"geral com gripe, q essa maldicao nao caia sobre mim pq eu com gripe sou  I N S U P O R T A V E L"
8,2018-05-24 18:19:45,"RT @Saradocinzas: t e n t a n d o
    d a r
        o
      m e u
  m e l h o r
n a
  m i n h a
     p i o r
  f a s e

s a b e   
    c o..."
9,2018-05-24 18:19:28,alguem vem aqui em casa l a v a r  o  m e u  c a b e l o
10,2018-05-24 18:17:23,"RT @LebaiDoMuca_: E
L
E 

N
A
O 

D
E
S
I
S
T
E 

D
E 

V
O
C
E  

E
L
E 

S
E 

I
M
P
O
R
T
A 

C
O
M 

V
O
C
E  

E
L
E 

C
O
M
P
R
E
E
N..."
11,2018-05-24 18:10:15,"RT @rosaaacastro: DESAPARECIDA
Desapareceu por volta da hora de almoco em espinho, se alguem a viu que por favor mande mensagem, PARTILHEM..."
12,2018-05-24 18:09:55,"RT @Vinigaldiino2: VOCE ATRAI O QUE FALA 

Q U E R O   S E X T A  L O G O 
Q U E R O   S E X T A  L O G O 
Q U E R O   S E X T A  L O G O..."
13,2018-05-24 18:08:45,Novo ponto de tomada sem quebrar nada l Fita condutora de energia https://t.co/vVrXvS2BPZ
14,2018-05-24 18:07:01,"RT @Cesar_Servin: P A R A B A I N S
B
A
N
E
S C H U L Z https://t.co/EcHdw8A7LU"
15,2018-05-24 18:06:25,"queria meu pai, ele chega juntinho, posso conversar c ele sobre QUALQUER coisa, Q U A L Q U E R!!!! que ele jamais... https://t.co/00iMvQjbbG"
16,2018-05-24 18:01:02,@DiarioPE Simplesmente... R I D I C U L A.
